[2025-05-29 12:59:25] 🚀 [ARBITRAGE] SOL/USDT → BUY on kucoin @ 172.60 → SELL on bybit @ 172.62 | Profit: 0.01%
[2025-05-29 12:59:38] 🚀 [ARBITRAGE] BTC/USDT → BUY on bitget @ 108737.01 → SELL on bybit @ 108767.10 | Profit: 0.03%
[2025-05-29 12:59:43] 🚀 [ARBITRAGE] ETH/USDT → BUY on kucoin @ 2730.27 → SELL on bybit @ 2731.12 | Profit: 0.03%
[2025-05-29 13:06:27] 🚀 [ARBITRAGE] BTC/USDT → BUY on bitget @ 108826.01 → SELL on kucoin @ 108876.10 | Profit: 0.05%
[2025-05-29 13:06:30] 🚀 [ARBITRAGE] ETH/USDT → BUY on kucoin @ 2726.62 → SELL on mexc @ 2727.28 | Profit: 0.02%
[2025-05-29 13:06:34] 🚀 [ARBITRAGE] SOL/USDT → BUY on mexc @ 172.74 → SELL on binance @ 172.76 | Profit: 0.01%
[2025-05-29 13:06:48] 🚀 [ARBITRAGE] BTC/USDT → BUY on bitget @ 108751.54 → SELL on okx @ 108774.40 | Profit: 0.02%
[2025-05-29 13:06:53] 🚀 [ARBITRAGE] ETH/USDT → BUY on kucoin @ 2725.73 → SELL on okx @ 2726.42 | Profit: 0.03%
[2025-05-29 13:06:56] 🚀 [ARBITRAGE] SOL/USDT → BUY on kucoin @ 172.75 → SELL on okx @ 172.76 | Profit: 0.01%
[2025-05-29 13:07:09] 🚀 [ARBITRAGE] BTC/USDT → BUY on bitget @ 108781.19 → SELL on bybit @ 108820.90 | Profit: 0.04%
[2025-05-29 13:07:13] 🚀 [ARBITRAGE] ETH/USDT → BUY on kucoin @ 2727.57 → SELL on bitget @ 2727.89 | Profit: 0.01%
[2025-05-29 13:07:17] 🚀 [ARBITRAGE] SOL/USDT → BUY on bitget @ 172.91 → SELL on bybit @ 172.93 | Profit: 0.01%
[2025-05-29 13:07:31] 🚀 [ARBITRAGE] BTC/USDT → BUY on bitget @ 108776.52 → SELL on binance @ 108801.42 | Profit: 0.02%
[2025-05-29 13:07:34] 🚀 [ARBITRAGE] ETH/USDT → BUY on kucoin @ 2726.66 → SELL on bitget @ 2726.93 | Profit: 0.01%
[2025-05-29 13:07:37] 🚀 [ARBITRAGE] SOL/USDT → BUY on kucoin @ 172.87 → SELL on mexc @ 172.89 | Profit: 0.01%
[2025-05-29 13:07:50] 🚀 [ARBITRAGE] BTC/USDT → BUY on bitget @ 108775.01 → SELL on okx @ 108790.10 | Profit: 0.01%
[2025-05-29 13:07:54] 🚀 [ARBITRAGE] ETH/USDT → BUY on kucoin @ 2726.06 → SELL on okx @ 2726.64 | Profit: 0.02%
[2025-05-29 13:07:58] 🚀 [ARBITRAGE] SOL/USDT → BUY on bybit @ 172.84 → SELL on binance @ 172.89 | Profit: 0.03%
[2025-05-29 13:08:13] 🚀 [ARBITRAGE] BTC/USDT → BUY on bitget @ 108748.01 → SELL on bybit @ 108773.60 | Profit: 0.02%
[2025-05-29 13:18:27] 🚀 [ARBITRAGE] BTC/USDT → BUY on bitget @ 108807.01 → SELL on okx @ 108844.00 | Profit: 0.03%
[2025-05-29 13:18:32] 🚀 [ARBITRAGE] ETH/USDT → BUY on binance @ 2728.26 → SELL on bitget @ 2729.18 | Profit: 0.03%
[2025-05-29 13:18:36] 🚀 [ARBITRAGE] SOL/USDT → BUY on kucoin @ 173.17 → SELL on mexc @ 173.20 | Profit: 0.02%
[2025-05-29 13:18:49] 🚀 [ARBITRAGE] BTC/USDT → BUY on bitget @ 108847.85 → SELL on bybit @ 108868.10 | Profit: 0.02%
[2025-05-29 13:18:52] 🚀 [ARBITRAGE] ETH/USDT → BUY on okx @ 2727.87 → SELL on bitget @ 2728.46 | Profit: 0.02%
[2025-05-29 13:18:55] 🚀 [ARBITRAGE] SOL/USDT → BUY on kucoin @ 173.21 → SELL on okx @ 173.24 | Profit: 0.02%
[2025-05-29 13:19:08] 🚀 [ARBITRAGE] BTC/USDT → BUY on bitget @ 108844.36 → SELL on bybit @ 108876.80 | Profit: 0.03%
[2025-05-29 13:19:11] 🚀 [ARBITRAGE] ETH/USDT → BUY on binance @ 2730.37 → SELL on bitget @ 2731.20 | Profit: 0.03%
[2025-05-29 13:19:14] 🚀 [ARBITRAGE] SOL/USDT → BUY on kucoin @ 173.28 → SELL on mexc @ 173.29 | Profit: 0.01%
[2025-05-29 13:19:27] 🚀 [ARBITRAGE] BTC/USDT → BUY on bitget @ 108844.73 → SELL on bybit @ 108871.40 | Profit: 0.02%
[2025-05-29 13:19:31] 🚀 [ARBITRAGE] ETH/USDT → BUY on kucoin @ 2730.26 → SELL on bitget @ 2730.93 | Profit: 0.02%
[2025-05-29 13:19:35] 🚀 [ARBITRAGE] SOL/USDT → BUY on kucoin @ 173.24 → SELL on okx @ 173.25 | Profit: 0.01%
[2025-05-29 13:19:48] 🚀 [ARBITRAGE] BTC/USDT → BUY on bitget @ 108844.73 → SELL on bybit @ 108876.80 | Profit: 0.03%
[2025-05-29 13:19:51] 🚀 [ARBITRAGE] ETH/USDT → BUY on kucoin @ 2730.26 → SELL on bitget @ 2730.88 | Profit: 0.02%
[2025-05-29 13:19:54] 🚀 [ARBITRAGE] SOL/USDT → BUY on kucoin @ 173.21 → SELL on mexc @ 173.24 | Profit: 0.02%
[2025-05-29 13:20:07] 🚀 [ARBITRAGE] BTC/USDT → BUY on bitget @ 108844.73 → SELL on bybit @ 108867.10 | Profit: 0.02%
[2025-05-29 13:20:11] 🚀 [ARBITRAGE] ETH/USDT → BUY on kucoin @ 2730.54 → SELL on bitget @ 2730.92 | Profit: 0.01%
[2025-05-29 13:20:14] 🚀 [ARBITRAGE] SOL/USDT → BUY on bitget @ 173.25 → SELL on mexc @ 173.28 | Profit: 0.02%
[2025-05-29 13:20:27] 🚀 [ARBITRAGE] BTC/USDT → BUY on bitget @ 108844.73 → SELL on bybit @ 108872.90 | Profit: 0.03%
[2025-05-29 13:20:30] 🚀 [ARBITRAGE] ETH/USDT → BUY on mexc @ 2729.52 → SELL on bitget @ 2730.22 | Profit: 0.03%
[2025-05-29 13:20:33] 🚀 [ARBITRAGE] SOL/USDT → BUY on kucoin @ 173.21 → SELL on bybit @ 173.24 | Profit: 0.02%
[2025-05-29 13:20:49] 🚀 [ARBITRAGE] ETH/USDT → BUY on binance @ 2729.65 → SELL on bybit @ 2730.26 | Profit: 0.02%
[2025-05-29 13:20:52] 🚀 [ARBITRAGE] SOL/USDT → BUY on kucoin @ 173.37 → SELL on bybit @ 173.42 | Profit: 0.03%
[2025-05-29 13:21:09] 🚀 [ARBITRAGE] ETH/USDT → BUY on kucoin @ 2730.07 → SELL on bitget @ 2730.62 | Profit: 0.02%
[2025-05-29 13:21:13] 🚀 [ARBITRAGE] SOL/USDT → BUY on okx @ 173.40 → SELL on bitget @ 173.41 | Profit: 0.01%
[2025-05-29 13:21:26] 🚀 [ARBITRAGE] BTC/USDT → BUY on bitget @ 108855.75 → SELL on bybit @ 108892.50 | Profit: 0.03%
[2025-05-29 13:21:30] 🚀 [ARBITRAGE] ETH/USDT → BUY on binance @ 2729.27 → SELL on bitget @ 2730.01 | Profit: 0.03%
[2025-05-29 13:21:33] 🚀 [ARBITRAGE] SOL/USDT → BUY on kucoin @ 173.39 → SELL on bybit @ 173.41 | Profit: 0.01%
[2025-05-29 13:28:13] 🚀 [ARBITRAGE] BTC/USDT → BUY on bitget @ 108791.02 → SELL on binance @ 108818.19 | Profit: 0.02%
[2025-05-29 13:28:16] 🚀 [ARBITRAGE] ETH/USDT → BUY on kucoin @ 2725.46 → SELL on bitget @ 2726.37 | Profit: 0.03%
[2025-05-29 13:28:19] 🚀 [ARBITRAGE] SOL/USDT → BUY on bitget @ 173.27 → SELL on bybit @ 173.29 | Profit: 0.01%
[2025-05-29 13:28:33] 🚀 [ARBITRAGE] BTC/USDT → BUY on bitget @ 108760.01 → SELL on okx @ 108770.00 | Profit: 0.01%
[2025-05-29 13:28:37] 🚀 [ARBITRAGE] ETH/USDT → BUY on kucoin @ 2725.70 → SELL on bitget @ 2727.43 | Profit: 0.06%
[2025-05-29 13:28:40] 🚀 [ARBITRAGE] SOL/USDT → BUY on bitget @ 173.30 → SELL on kucoin @ 173.33 | Profit: 0.02%
[2025-05-29 13:28:54] 🚀 [ARBITRAGE] BTC/USDT → BUY on bitget @ 108760.01 → SELL on bybit @ 108784.00 | Profit: 0.02%
[2025-05-29 13:28:57] 🚀 [ARBITRAGE] ETH/USDT → BUY on kucoin @ 2726.10 → SELL on bitget @ 2727.00 | Profit: 0.03%
[2025-05-29 13:29:00] 🚀 [ARBITRAGE] SOL/USDT → BUY on bitget @ 173.30 → SELL on mexc @ 173.32 | Profit: 0.01%
[2025-05-29 13:29:13] 🚀 [ARBITRAGE] BTC/USDT → BUY on bitget @ 108760.01 → SELL on mexc @ 108782.60 | Profit: 0.02%
[2025-05-29 13:29:17] 🚀 [ARBITRAGE] ETH/USDT → BUY on kucoin @ 2725.66 → SELL on bitget @ 2726.35 | Profit: 0.03%
[2025-05-29 13:29:20] 🚀 [ARBITRAGE] SOL/USDT → BUY on bybit @ 173.31 → SELL on mexc @ 173.32 | Profit: 0.01%
[2025-05-29 13:29:36] 🚀 [ARBITRAGE] ETH/USDT → BUY on kucoin @ 2725.66 → SELL on bitget @ 2726.61 | Profit: 0.03%
[2025-05-29 13:29:52] 🚀 [ARBITRAGE] BTC/USDT → BUY on bitget @ 108760.01 → SELL on mexc @ 108778.01 | Profit: 0.02%
[2025-05-29 13:29:55] 🚀 [ARBITRAGE] ETH/USDT → BUY on kucoin @ 2725.42 → SELL on bitget @ 2726.31 | Profit: 0.03%
[2025-05-29 13:29:59] 🚀 [ARBITRAGE] SOL/USDT → BUY on okx @ 173.27 → SELL on mexc @ 173.31 | Profit: 0.02%
[2025-05-29 13:30:12] 🚀 [ARBITRAGE] BTC/USDT → BUY on bitget @ 108760.01 → SELL on bybit @ 108791.10 | Profit: 0.03%
[2025-05-29 13:30:16] 🚀 [ARBITRAGE] ETH/USDT → BUY on okx @ 2724.84 → SELL on bitget @ 2726.11 | Profit: 0.05%
[2025-05-29 13:30:19] 🚀 [ARBITRAGE] SOL/USDT → BUY on binance @ 173.33 → SELL on okx @ 173.38 | Profit: 0.03%
[2025-05-29 13:30:34] 🚀 [ARBITRAGE] BTC/USDT → BUY on bitget @ 108795.48 → SELL on okx @ 108830.10 | Profit: 0.03%
[2025-05-29 13:30:38] 🚀 [ARBITRAGE] ETH/USDT → BUY on kucoin @ 2724.65 → SELL on bitget @ 2725.46 | Profit: 0.03%
